qid	query	docid	docno	rank	score
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	818	819	0	24.765889908288486
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1118	1119	1	20.423935479557752
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	824	825	2	18.235364282345596
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	759	760	3	16.363463363701378
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	816	817	4	16.325178366967954
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	819	820	5	14.990510236125376
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	822	823	6	14.91596687219409
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	817	818	7	14.492136121353784
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1121	1122	8	13.14712562092821
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	823	824	9	12.703774570705459
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	825	826	10	12.312966519600963
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1022	1023	11	11.752394831483072
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1066	1067	12	11.726972498209243
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1029	1030	13	10.985061349938542
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	531	532	14	9.604650737218755
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	598	599	15	9.28618232363096
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1025	1026	16	9.160950152377403
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1119	1120	17	9.087161854823888
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	766	767	18	8.976389190884785
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	283	284	19	8.758309219301811
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	836	837	20	8.57201326787828
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1012	1013	21	8.49744315765513
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	194	195	22	8.47711919415748
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1014	1015	23	8.350259795183838
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1120	1121	24	8.110331860668552
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	839	840	25	7.9554625246346635
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1030	1031	26	7.846749892046516
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	389	390	27	7.846294928859026
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1034	1035	28	7.664717378485901
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	0	1	29	7.619080876001027
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	129	130	30	7.551346247576272
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1360	1361	31	7.549006184539969
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	161	162	32	7.5152258125484686
150	why does the incremental theory and the deformation theory of plastic stressstrain relationship differ greatly when applied to stability problems	1111	1112	33	7.486643692017152
